Name,Type,Location,LocationS,Offer,Date_dep,Duration,Url,img,Site,price
Voyage au Caire à petit Prix ==> 4 Jours à partir de 899 DT,Voyage,Egypt,Caire,Vol + Hôtel 3*,2022-09-04,4,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=11191&showdate=1&fromdate=08/01/2022&todate=11/01/2022&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 899
Séjour au Caire à Prix imbattable => 8 J / 7 N à partir de 1215 DT,Voyage,Egypt,Caire,Vol + Hôtel 3*,2022-09-04,8,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=11192&showdate=1&fromdate=08/01/2022&todate=15/01/2022&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 1215
Séjour à Barcelone==>Prix imbattable 04 Jours à 990 TTC,Voyage,Spain,Barcelona,Vol+Hôtel 3*,2022-09-04,4,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=1408&showdate=1&fromdate=20/10/2021&todate=27/10/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 990
Séjour à Madrid ==>Prix imbattable 04 Jours à 990 TTC,Voyage,Spain,Madrid,Vol + hôtel 3*,2022-09-04,4,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=1437&showdate=1&fromdate=03/11/2021&todate=07/11/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 990
Séjour Combiné Caire & Sharm El Sheikh 07 Jours / 06 Nuits,Voyage,Egypt,Caire,Vol+Transferts+Hôtels 4*,2022-09-04,7,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=6204&showdate=1&fromdate=20/10/2021&todate=26/10/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 1900
Séjour à Belgrade ==> 08 Jours/07 Nuits à partir de 1630 TTC,Voyage,Serbia and Montenegro,Belgrade,Vol+Hotel 3*,2022-09-04,8,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=5202&showdate=1&fromdate=12/08/2021&todate=19/08/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 1630
Séjour combiné Istanbul & Trabzon,Voyage,Turkey,Turkey,vols + transferts + hôtels + excursions,2022-09-04,7,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=10666&showdate=1&fromdate=01/11/2021&todate=07/11/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 2290
Les Magies de la Cappadoce==>04 Jours/03 Nuits,Voyage,Turkey,Istanbul,Vols+Transferts+Hôtels 5*+Excursions,NULL,4,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=7610&showdate=1&fromdate=08/01/2022&todate=11/01/2022&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 2050
Carrefour des civilisations==>Ankara-Cappadoce-Pamukkale-Izmir-Canakkale  10 Jours/09 Nuits,Voyage,Turkey,Istanbul,Vol+Transferts+Hôtels *+Excursions,2022-09-04,10,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=7609&showdate=1&fromdate=01/11/2021&todate=06/11/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 2500
Séjour Combiné Istanbul & Antalya,Voyage,Turkey,Turkey,Combiné Istanbul & Antalya,2022-09-04,7,https://booking.traveltodo.com/tn/cr.resa/ui/aba/Product_Detail.aspx?idproductfamily=13&id=4606&showdate=1&fromdate=12/08/2021&todate=18/08/2021&autoinitiatedates=true&user=1063&curr=1,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 2500
Séjour Combiné Istanbul & Chypre de Nord==>08 Jours / 07 Nuits,Voyage,Turkey,Istanbul,vols+Hôtels,NULL,8,https://booking.traveltodo.com/tn/cr.resa/ui/aba/produit-descriptif--Forfait-6132-1063-1-1-13-showdate0-section1517.aspx,https://www.traveltodo.com/dist/img/logo.png,Traveltodo.com, 2600
